Year,Rank,School,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Longitude,Latitude,Sector,Gender,Religion
2019,79,Mercy College,76.4,184,72,39.13,115.8575544,-31.84725114,Non-government,Co-ed,Catholic
2019,79,St Brigid's College,76.4,84,54,64.29,116.05206640000002,-31.99663035,Non-government,Girls,Catholic
2019,81,Baldivis Secondary College,76.3,199,34,17.09,115.828418,-32.334099,Government,Co-ed,Secular
2019,82,North Albany Senior High School,76.2,89,31,34.83,117.86686740000002,-34.99074882,Government,Co-ed,Secular
2019,83,Helena College,75.9,66,57,86.36,116.09143999999999,-31.90747,Government,Co-ed,Secular
2019,84,Bunbury Senior High School,75.85,99,38,38.38,115.63260770000001,-33.32746917,Government,Co-ed,Secular
2019,85,Governor Stirling Senior High School,75.8,119,30,25.21,115.98880559999999,-31.88893826,Government,Co-ed,Secular
2019,86,Great Southern Grammar,75.7,83,50,60.24,117.9707332,-34.94755539,Non-government,Co-ed,Christian
2019,87,Mazenod College,75.6,109,50,45.87,116.0388409,-32.006679,Non-government,Boys,Catholic
2019,88,Lumen Christi College,75.15,119,51,42.86,116.0120135,-32.06737479,Non-government,Co-ed,Catholic
2019,88,Morley Senior High School,75.15,155,83,53.55,115.8836692,-31.873716899999998,Government,Co-ed,Secular
2019,90,Belmont City College,74.9,122,30,24.59,115.9344344,-31.95889136,Government,Co-ed,Secular
2019,90,Mater Dei College,74.9,125,71,56.8,115.7765193,-31.76466034,Non-government,Co-ed,Catholic
2019,92,Woodvale Secondary College,74.8,184,90,48.91,115.7994712,-31.79154969,Government,Co-ed,Secular
2019,93,John Paul College,74.5,55,37,67.27,121.47871540000001,-30.76410096,Non-government,Co-ed,Catholic
2019,94,Greenwood College,74.1,118,47,39.83,115.7914439,-31.82628484,Government,Co-ed,Secular
2019,95,La Salle College,73.95,211,84,39.81,116.004411,-31.87856979,Non-government,Co-ed,Catholic
2019,96,Mindarie Senior College,73.45,353,107,30.31,115.7060496,-31.6769792,Non-government,Co-ed,Catholic
2019,97,Denmark Senior High School,73.4,49,29,59.18,117.3645842,-34.95741408,Government,Co-ed,Secular
2019,98,Quinns Baptist College,73.15,65,25,38.46,115.71019640000002,-31.67618587,Non-government,Co-ed,Baptist
2019,99,Albany Senior High School,73.1,130,64,49.23,117.8917733,-35.02044765,Government,Co-ed,Secular
2019,100,Kingsway Christian College,72.6,96,81,84.38,115.8374044,-31.81156717,Non-government,Co-ed,Christian
2019,101,Peter Carnley Anglican Community School,72.55,50,24,48.0,115.8149145,-32.25710348,Non-government,Co-ed,Anglican
2019,102,Ellenbrook Christian College,72.5,50,24,48.0,115.95917800000001,-31.786783000000003,Non-government,Co-ed,Christian
2019,103,Swan Christian College,72.35,166,62,37.35,116.01175330000001,-31.85830659,Non-government,Co-ed,Christian
2019,104,Narrogin Senior High School,72.25,72,33,45.83,117.1914239,-32.93810289,Government,Co-ed,Secular
2019,105,Living Waters Lutheran College,72.2,71,27,38.03,115.7544169,-32.34307717,Non-government,Co-ed,Lutheran
2019,106,Como Secondary College,72.1,96,57,59.38,115.8711551,-32.00366439,Government,Co-ed,Secular
2019,107,Kalamunda Senior High School,72.05,140,55,39.29,116.0561861,-31.97788079,Government,Co-ed,Secular
2019,108,Tranby College,71.95,78,40,51.28,115.8002428,-32.340570299999996,Non-government,Co-ed,Uniting
2019,109,Sevenoaks Senior College,71.8,174,43,24.71,115.94230520000002,-32.01247925,Government,Co-ed,Secular
2019,110,Karratha Senior High School,71.35,134,30,22.39,116.8241249,-20.74695822,Government,Co-ed,Secular
2019,111,Irene McCormack Catholic College,71.25,115,63,54.78,115.70944899999999,-31.65406275,Non-government,Co-ed,Catholic
2019,112,Ellenbrook Secondary College,71.2,185,43,23.24,115.9642807,-31.78554916,Government,Co-ed,Secular
2019,113,Kent Street Senior High School,70.95,103,47,45.63,115.8926602,-31.98570399,Government,Co-ed,Secular
2019,114,Atwell College,70.85,170,37,21.76,115.86414620000001,-32.14395682,Government,Co-ed,Secular
2019,115,Manea Senior College,70.45,291,107,36.77,115.65679750000001,-33.36775659,Government,Co-ed,Secular
2019,115,St Joseph's College,70.45,39,26,66.67,117.902192,-34.997944,Non-government,Co-ed,Catholic
2019,117,Eastern Hills Senior High School,69.75,118,39,33.05,116.2200892,-31.87396818,Government,Co-ed,Secular
2019,118,Balcatta Senior High School,69.6,85,24,28.24,115.8122429,-31.87551716,Government,Co-ed,Secular
2019,119,Southern River College,69.55,103,23,22.33,115.979918,-32.08559751,Government,Co-ed,Secular
2019,120,Kearnan College,69.25,37,24,64.86,116.1416408,-34.24140477,Non-government,Co-ed,Catholic
2019,121,Aranmore Catholic College,68.1,84,41,48.81,115.8431695,-31.92706854,Non-government,Co-ed,Catholic
2019,121,OneSchool Global WA,68.1,37,24,64.86,115.90171969999999,-32.05654231,Non-government,Co-ed,Brethren Christian
2019,123,Butler College,67.75,182,33,18.13,115.70870079999999,-31.65166367,Government,Co-ed,Secular
2019,124,Thornlie Senior High School,67.3,124,39,31.45,115.95964099999999,-32.06627622,Government,Co-ed,Secular
2019,125,Ballajura Community College,67.0,212,68,32.08,115.8934345,-31.84474671,Government,Co-ed,Secular
2019,126,Belridge Secondary College,66.4,132,44,33.33,115.76317590000001,-31.77038385,Government,Co-ed,Secular
2019,127,Geraldton Senior High School,66.25,201,37,18.41,114.61170919999999,-28.78068474,Government,Co-ed,Secular
2019,128,Kelmscott Senior High School,65.95,185,62,33.51,116.0110534,-32.12147619,Government,Co-ed,Secular
2019,129,Broome Senior High School,65.25,96,42,43.75,122.23232639999999,-17.95614273,Government,Co-ed,Secular
2019,130,Wanneroo Secondary College,64.4,134,35,26.12,115.81513329999999,-31.7578766,Government,Co-ed,Secular
2019,131,Fremantle College,63.9,97,26,26.8,115.76798000000001,-32.06791,Government,Co-ed,Secular
2019,132,Northam Senior High School,63.65,93,26,27.96,116.66764909999999,-31.64725593,Government,Co-ed,Secular
2019,133,Dalyellup College,63.55,76,22,28.95,115.62576729999999,-33.40385496,Government,Co-ed,Secular
2019,134,Bullsbrook College,62.85,88,20,22.73,116.033179,-31.66171848,Government,Co-ed,Secular
2019,135,Darling Range Sports College,61.95,100,21,21.0,116.01085970000001,-31.97566063,Government,Co-ed,Secular
2019,136,Hampton Senior High School,61.9,110,29,26.36,115.92693,-31.89085713,Government,Co-ed,Secular
2019,137,Halls Head College,61.2,167,29,17.37,115.69424040000001,-32.55444963,Government,Co-ed,Secular
2019,138,Warwick Senior High School,60.8,77,24,31.17,115.8154291,-31.83867535,Government,Co-ed,Secular
2019,139,Byford Secondary College,60.0,134,45,33.58,116.00187930000001,-32.22343162,Government,Co-ed,Secular
2019,140,Hedland Senior High School,55.95,80,21,26.25,118.59861599999999,-20.39878872,Government,Co-ed,Secular
2019,141,Merredin College,55.2,54,23,42.59,118.2849815,-31.48808967,Government,Co-ed,Secular
2019,142,Joseph Banks Secondary College,41.85,171,68,39.77,115.79659109999999,-31.69867412,Government,Co-ed,Secular
2020,1,Perth Modern School,97.55,242,242,100.0,115.83639579999999,-31.94506602,Government,Co-ed,Secular
2020,2,St Hilda's Anglican School for Girls,92.7,147,134,91.16,115.767812,-32.005047,Non-government,Girls,Anglican
2020,3,Christ Church Grammar School,92.5,190,175,92.11,115.7769868,-31.98546117,Non-government,Boys,Anglican
2020,4,Penrhos College,90.65,135,116,85.93,115.87253940000001,-31.99743072,Non-government,Girls,Uniting
2020,5,Methodist Ladies' College,90.55,126,112,88.89,115.77554029999999,-31.98701169,Non-government,Girls,Methodist
2020,6,Hale School,90.35,194,169,87.11,115.7837828,-31.91232249,Non-government,Boys,Anglican
2020,7,St Mary's Anglican Girls' School,90.3,153,128,83.66,115.766244,-31.87697112,Non-government,Girls,Anglican
2020,8,John XXIII College,89.5,168,132,78.57,115.78479879999999,-31.9599189,Non-government,Co-ed,Catholic
2020,9,Perth College,89.4,129,116,89.92,115.87548090000001,-31.93117853,Non-government,Girls,Catholic
2020,10,Santa Maria College,89.35,176,120,68.18,115.795823,-32.018614,Non-government,Girls,Catholic
2020,11,Presbyterian Ladies' College,89.2,109,97,88.99,115.76490600000001,-31.993592,Non-government,Girls,Uniting
2020,12,Kennedy Baptist College,88.95,167,84,50.3,115.829647,-32.073356,Non-government,Co-ed,Baptist
2020,13,Carmel School,88.85,33,32,96.97,115.86207490000001,-31.89910743,Non-government,Co-ed,Jewish
2020,14,Shenton College,88.6,343,246,71.72,115.803008,-31.95969986,Government,Co-ed,Secular
2020,15,Mercedes College,88.55,139,101,72.66,115.8670832,-31.95623304,Non-government,Girls,Catholic
2020,16,Rossmoyne Senior High School,88.4,368,274,74.46,115.8705457,-32.04626472,Government,Co-ed,Secular
2020,17,Iona Presentation College,87.8,134,91,67.91,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
2020,18,Willetton Senior High School,87.75,393,277,70.48,115.8792246,-32.06131317,Government,Co-ed,Secular
2020,19,Sacred Heart College,87.6,229,147,64.19,115.74656999999999,-31.82737166,Non-government,Co-ed,Catholic
2020,20,Mount Lawley Senior High School,86.45,234,152,64.96,115.8697493,-31.92122258,Government,Co-ed,Secular
2020,21,All Saints' College,86.35,146,120,82.19,115.867023,-32.04946998,Non-government,Co-ed,Anglican
2020,22,Churchlands Senior High School,85.9,415,263,63.37,115.7899902,-31.91728978,Government,Co-ed,Secular
2020,23,Aquinas College,85.85,174,108,62.07,115.86175379999999,-32.02617519,Non-government,Boys,Catholic
2020,24,Scotch College,85.35,175,130,74.29,115.7731945,-31.98113329,Non-government,Boys,Christian
2020,25,John Curtin College of the Arts,85.25,224,146,65.18,115.75622379999999,-32.04863279,Government,Co-ed,Secular
2020,25,Mazenod College,85.25,122,61,50.0,116.0388409,-32.006679,Non-government,Boys,Catholic
2020,27,Our Lady of Mercy College,85.2,54,25,46.3,115.74006399999999,-33.270941,Non-government,Co-ed,Catholic
2020,28,Corpus Christi College,84.95,228,140,61.4,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
2020,29,Bunbury Cathedral Grammar School,84.8,75,61,81.33,115.63864,-33.404668,Non-government,Co-ed,Christian
2020,29,Chisholm Catholic College,84.8,234,126,53.85,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
2020,31,St Stephen's School - Carramar,84.75,194,107,55.15,115.78828,-31.71704,Non-government,Co-ed,Christian
2020,32,Duncraig Senior High School,84.5,190,95,50.0,115.767131,-31.82190527,Government,Co-ed,Secular
2020,32,Mandurah Catholic College,84.5,199,83,41.71,115.73828600000002,-32.54895945,Non-government,Co-ed,Catholic
2020,34,Applecross Senior High School,84.3,234,145,61.97,115.83509,-32.029376,Government,Co-ed,Secular
2020,35,Comet Bay College,84.0,245,52,21.22,115.7629996,-32.415805199999994,Government,Co-ed,Secular
2020,35,John Septimus Roe Anglican Community School,84.0,167,84,50.3,115.85670549999999,-31.85936631,Non-government,Co-ed,Anglican
2020,37,Wesley College,83.9,144,119,82.64,115.86593400000001,-31.97995555,Non-government,Boys,Christian
2020,38,Providence Christian College,83.85,57,35,61.4,115.93669409999998,-32.09974606,Non-government,Co-ed,Christian
2020,39,Butler College,83.7,170,36,21.18,115.70870079999999,-31.65166367,Government,Co-ed,Secular
